valid_at,sensor_id,pm2p5_x,pm2p5_y,pm1,pm10,no,no2,o3,co,relative_humidity,temperature,pressure,wind_speed,rain
2021-03-13 08:00:00,FEC01,26.2775,5.9,18.5508333333333,28.2175,26.505,17.9125,119.7825,152.979166666667,67,8.0,1024.8,6.5,0.0
2021-03-13 09:00:00,FEC01,29.0041666666667,7.9,20.6925,41.6883333333333,34.4558333333333,1.44583333333333,112.950833333333,220.608333333333,43,15.6,1025.5,7.4,0.0
2021-03-13 09:00:00,FEC02,17.5275,7.9,6.34333333333333,38.2691666666667,12.3441666666667,1.77416666666667,132.35,194.784166666667,43,15.6,1025.5,7.4,0.0
2021-03-13 10:00:00,FEC01,26.45,10.0,18.2983333333333,29.2975,44.3466666666667,-13.925,134.0325,110.9575,37,17.4,1026.3,9.4,0.0
2021-03-13 10:00:00,FEC02,15.5375,10.0,6.60833333333333,26.0625,19.775,-10.65,153.085,136.529166666667,37,17.4,1026.3,9.4,0.0
2021-03-13 11:00:00,FEC01,20.6125,9.0,14.7558333333333,18.7683333333333,43.1075,-0.553333333333333,157.575,124.485,47,13.8,1026.2,9.4,0.0
2021-03-13 11:00:00,FEC02,15.2458333333333,9.0,6.3675,22.3258333333333,15.485,3.02083333333333,188.4725,135.496666666667,47,13.8,1026.2,9.4,0.0
2021-03-13 12:00:00,FEC02,11.6466666666667,7.7,4.9975,19.1591666666667,12.5041666666667,8.59416666666667,205.575,128.769166666667,37,14.6,1026.1,12.1,0.0
2021-03-13 12:00:00,FEC01,15.8541666666667,7.7,12.0266666666667,15.5866666666667,37.8441666666667,3.53166666666667,178.400833333333,129.073333333333,37,14.6,1026.1,12.1,0.0
2021-03-13 13:00:00,FEC02,9.26416666666667,5.5,3.90416666666667,14.9275,14.655,5.73,194.451666666667,143.398333333333,33,15.6,1025.4,9.4,0.0
2021-03-13 13:00:00,FEC01,17.1966666666667,5.5,12.7425,14.3066666666667,39.7241666666667,5.19416666666667,175.656666666667,144.913333333333,33,15.6,1025.4,9.4,0.0
2021-03-13 14:00:00,FEC01,13.3658333333333,3.3,9.75333333333333,18.4316666666667,37.8425,-2.5475,174.590833333333,125.019166666667,27,16.2,1025.0,9.4,0.0
2021-03-13 14:00:00,FEC02,8.07833333333333,3.3,3.46166666666667,24.8575,16.1191666666667,-3.56166666666667,204.084166666667,207.988333333333,27,16.2,1025.0,9.4,0.0
2021-03-13 15:00:00,FEC01,14.3216666666667,3.3,10.585,15.2908333333333,39.5633333333333,-3.18166666666667,175.680833333333,153.824166666667,22,20.1,1024.1,12.1,0.0
2021-03-13 15:00:00,FEC02,4.75666666666667,3.3,2.13916666666667,19.3308333333333,20.7608333333333,-4.66583333333333,193.233333333333,157.718333333333,22,20.1,1024.1,12.1,0.0
2021-03-13 16:00:00,FEC01,19.8458333333333,2.6,11.2658333333333,16.5341666666667,48.7408333333333,-10.5991666666667,163.991666666667,73.1191666666667,22,22.2,1023.9,14.8,0.0
2021-03-13 16:00:00,FEC02,4.9625,2.6,2.29416666666667,7.44416666666667,18.7258333333333,-21.3725,161.83,107.236666666667,22,22.2,1023.9,14.8,0.0
2021-03-13 17:00:00,FEC02,5.30916666666667,3.3,2.13166666666667,10.4758333333333,20.0633333333333,-4.735,191.0175,133.778333333333,25,21.7,1023.3,15.7,0.0
